Material:,Local,Estoque Atual:,Estoque Mínimo:,Colaborador :
"ALUMÍNIO EM SACO","Convertedor","3.4","40","Taccheto, Felipe G"
"FERRO ENXOFRE","Convertedor","2","0","Taccheto, Felipe G"
"FERRO NIÓBIO","Convertedor","2","9","Taccheto, Felipe G"
"FERRO CROMO","Convertedor","0","10","Taccheto, Felipe G"
"COQUE EM SACO","Convertedor","2.4","2","Taccheto, Felipe G"
"FERRO FOSFORO","Convertedor","5","10","Taccheto, Felipe G"
"FERRO NIQUEL","Convertedor","3.2","20","Taccheto, Felipe G"
"FERRO MOLIBIDENIO","Convertedor","10","20","Taccheto, Felipe G"
"GRAFITE DE 500KG","Convertedor","10.5","20","Taccheto, Felipe G"
"GRAFITE DE 1000KG","Convertedor","8","20","Taccheto, Felipe G"
"GRAFITE EM SACO","Convertedor","1.4","10","Taccheto, Felipe G"
"ESCORIA SINTETICA","Convertedor","32.5","25","Lima, Antonio Jose Santos"
"Ferro Vanádio","Convertedor","0","2","Taccheto, Felipe G"
"ALUMINIO GOTÃO","Refino do Aço 2","45","50","Taccheto, Felipe G"
"FERRO MANGANES ALTO CARBONO","Refino do Aço 2","22","40","Taccheto, Felipe G"
"FERRO MANGANES MEDIO CARBONO","Refino do Aço 2","8","20","Taccheto, Felipe G"
"FERRO METÁLICO ","Refino do Aço 2","0","40","Taccheto, Felipe G"
"FERRO SILICIO","Refino do Aço 2","10","20","Taccheto, Felipe G"
"COQUE 10\15","Refino do Aço 2","11.25","20","Taccheto, Felipe G"
"COQUE 3\5","Refino do Aço 2","7.5","10","Taccheto, Felipe G"
"BOBINA FeCa","Refino do Aço 2","4","10","Taccheto, Felipe G"
"BOBINA FeSi","Refino do Aço 2","3","10","Taccheto, Felipe G"
"FERRO CROMO","Refino do Aço 2","4","4","Taccheto, Felipe G"
"FERRO BORO","Refino do Aço 2","2","4","Taccheto, Felipe G"
"FERRO VANADIO","Refino do Aço 2","0","4","Taccheto, Felipe G"
"FERRO FOSFORO","Refino do Aço 2","2","4","Taccheto, Felipe G"
"Coque 10/15","Refino do Aço 1","2.5","10","Taccheto, Felipe G"
"Ferro Niobio","Refino do Aço 1","2","6","Taccheto, Felipe G"
"Ferro Vanadio","Refino do Aço 1","1","2","Taccheto, Felipe G"
"FERRO MANGANES NITROGENADO","Refino do Aço 1","0","2","Taccheto, Felipe G"
"FERRO CROMO","Refino do Aço 1","0","2","Taccheto, Felipe G"
"BOBINA FeCa","Refino do Aço 1","4","20","Taccheto, Felipe G"
"FERRO ENXOFRE","Refino do Aço 1","0","2","Taccheto, Felipe G"
"ALUMINIO GRANULADO","Refino do Aço 1","30","21","Taccheto, Felipe G"
"FERRO TITANIO","Refino do Aço 1","15","30","Taccheto, Felipe G"
"FERRO METALICO","Refino do Aço 1","18","20","Taccheto, Felipe G"
"FERRO TITANIO","Refino do Aço 2","24","30","Taccheto, Felipe G"
"Bobina FeCaSi","Refino do Aço 1","0","0","Taccheto, Felipe G"
"Ferro Fosforo","Refino do Aço 1","5","5","Taccheto, Felipe G"
"Ferro Nióbio","Refino do Aço 2","2","6","Taccheto, Felipe G"
"Ferro Fosforo","Refino do Aço 1","5","5","Taccheto, Felipe G"
